date,campaign,adset,ad,spend,clicks,impressions,purchases,revenue,currency,utm_campaign,pixel_events,server_events,transaction_id,page_load_time,ad_copy
2024-01-01,Summer_Sale_2024,Audience_A,Video_Ad_1,1250.50,3420,125000,45,8950.00,USD,summer_sale_2024,44,45,TXN001001,1.2,"Shop our biggest summer sale! Up to 50% off"
2024-01-02,Summer_Sale_2024,Audience_A,Video_Ad_1,1180.25,3100,118000,38,7520.00,USD,summer_sale_2024,37,38,TXN001002,1.4,"Shop our biggest summer sale! Up to 50% off"
2024-01-03,Summer_Sale_2024,Audience_B,Image_Ad_1,980.00,2800,95000,32,6400.00,USD,summer_sale_2024,30,32,TXN001003,1.1,"Limited time offer - Summer collection"
2024-01-04,Summer_Sale_2024,Audience_B,Image_Ad_1,1050.75,2950,102000,35,7100.00,USD,summer_sale_2024,33,35,TXN001004,0.9,"Limited time offer - Summer collection"
2024-01-05,Brand_Awareness_Q1,Lookalike_1,Carousel_1,2500.00,8500,450000,18,3200.00,USD,brand_awareness_q1,17,18,TXN001005,2.1,"Discover our brand story"
2024-01-06,Brand_Awareness_Q1,Lookalike_1,Carousel_1,2750.25,9200,480000,22,4100.00,USD,brand_awareness_q1,20,22,TXN001006,1.8,"Discover our brand story"
2024-01-07,Brand_Awareness_Q1,Interest_A,Video_Ad_2,1890.50,6800,320000,28,5600.00,USD,brand_awareness_q1,25,28,TXN001007,1.5,"Quality you can trust"
2024-01-08,Retargeting_High_Value,Website_Visitors,Dynamic_1,750.00,2100,45000,42,12400.00,USD,retargeting_high,40,42,TXN001008,1.3,"Complete your purchase - 10% off"
2024-01-09,Retargeting_High_Value,Cart_Abandoners,Dynamic_2,520.25,1500,28000,38,9800.00,USD,retargeting_high,35,38,TXN001009,1.2,"Don't miss out! Your cart is waiting"
2024-01-10,Retargeting_High_Value,Cart_Abandoners,Dynamic_2,480.00,1400,25000,35,8750.00,USD,retargeting_high,32,35,TXN001010,1.1,"Don't miss out! Your cart is waiting"
2024-01-11,New_Product_Launch,Launch_Audience,Hero_Video,3500.00,12000,680000,55,16500.00,USD,new_product_2024,52,55,TXN001011,2.5,"Introducing our latest innovation"
2024-01-12,New_Product_Launch,Launch_Audience,Hero_Video,3200.75,10500,590000,48,14400.00,USD,new_product_2024,45,48,TXN001012,2.3,"Introducing our latest innovation"
2024-01-13,New_Product_Launch,Early_Adopters,Teaser_1,1800.50,6200,280000,32,9600.00,USD,new_product_2024,30,32,TXN001013,1.6,"Be the first to experience"
2024-01-14,Flash_Sale_Jan,All_Audiences,Urgency_1,4200.00,18000,920000,85,25500.00,USD,flash_sale_jan,82,85,TXN001014,1.0,"24 HOURS ONLY - 30% off everything!"
2024-01-15,Flash_Sale_Jan,All_Audiences,Urgency_1,3800.25,16500,850000,72,21600.00,USD,flash_sale_jan,68,72,TXN001015,0.8,"24 HOURS ONLY - 30% off everything!"
2024-01-16,Flash_Sale_Jan,VIP_Customers,Exclusive_1,950.00,3200,42000,28,8400.00,USD,flash_sale_jan,26,28,TXN001016,0.7,"VIP EXCLUSIVE - Early access"
2024-01-17,Affiliate_Push,Partner_A,Standard_Banner,650.50,2200,75000,12,2400.00,USD,affiliate_push,10,12,TXN001017,1.8,"Partner recommendations"
2024-01-18,Affiliate_Push,Partner_B,Standard_Banner,720.25,2500,82000,15,3000.00,USD,affiliate_push,13,15,TXN001018,1.7,"Trusted by partners"
2024-01-19,Influencer_Collab,Influencer_X,Story_1,1500.00,5500,180000,22,6600.00,USD,influencer_x_2024,20,22,TXN001019,1.4,"As seen on [Influencer]"
2024-01-20,Influencer_Collab,Influencer_Y,Reel_1,2200.75,8200,320000,35,10500.00,USD,influencer_y_2024,32,35,TXN001020,1.2,"Trending now"
2024-01-21,Search_Brand,Brand_Terms,Text_Ad,850.00,3200,28000,65,19500.00,USD,search_brand,63,65,TXN001021,0.5,"Official Store - Best Prices"
2024-01-22,Search_Brand,Brand_Terms,Text_Ad,780.50,2950,25000,58,17400.00,USD,search_brand,55,58,TXN001022,0.6,"Official Store - Free Shipping"
2024-01-23,Search_Generic,Category_Terms,Text_Ad,1450.25,4800,65000,22,6600.00,USD,search_generic,18,22,TXN001023,0.8,"Shop [Category] - Top Rated"
2024-01-24,Search_Generic,Category_Terms,Text_Ad,1520.00,5100,70000,25,7500.00,USD,search_generic,21,25,TXN001024,0.7,"Shop [Category] - Best Selection"
2024-01-25,Email_Retargeting,Non_Openers,Resend_1,320.00,1100,15000,8,1600.00,USD,email_retarget,6,8,TXN001025,0.4,"You missed this - Last chance"
2024-01-26,Email_Retargeting,Openers,Follow_Up,280.50,980,12000,12,3600.00,USD,email_retarget,10,12,TXN001026,0.5,"Thanks for your interest"
2024-01-27,Video_Views,Campaign_A,Skip_Ad,950.00,4200,580000,5,1000.00,USD,video_views_campaign,3,5,TXN001027,3.2,"Watch our story"
2024-01-28,Video_Views,Campaign_A,Non_Skip,1250.50,3800,420000,8,1600.00,USD,video_views_campaign,6,8,TXN001028,2.8,"See what makes us different"
2024-01-29,Conversion_Test,Audience_X,Variation_A,680.00,2400,48000,15,4500.00,USD,conversion_test_a,14,15,TXN001029,1.0,"Free Shipping on orders $50+"
2024-01-30,Conversion_Test,Audience_X,Variation_B,720.25,2600,52000,18,5400.00,USD,conversion_test_b,16,18,TXN001030,0.9,"20% off your first order"
2024-01-31,Seasonal_Clearance,All_Audiences,Clearance_1,2100.00,7500,180000,42,12600.00,USD,seasonal_clearance,38,42,TXN001031,1.3,"Clearance Sale - Up to 70% off"
2024-02-01,Seasonal_Clearance,All_Audiences,Clearance_1,1950.75,6800,165000,38,11400.00,USD,seasonal_clearance,35,38,TXN001032,1.2,"Clearance Sale - Up to 70% off"
2024-02-02,Seasonal_Clearance,Remnant_Stock,Last_Chance,880.50,3100,45000,25,5000.00,USD,seasonal_clearance,22,25,TXN001033,0.8,"Final Days - Everything Must Go"
2024-02-03,Loyalty_Program,Existing_Customers,Rewards_1,450.00,1800,12000,35,10500.00,USD,loyalty_program,33,35,TXN001034,0.6,"Double points this weekend"
2024-02-04,Loyalty_Program,VIP_Tier,Exclusive_2,320.00,1200,5500,28,8400.00,USD,loyalty_program,26,28,TXN001035,0.5,"VIP-only preview sale"
2024-02-05,Cross_Sell,Recent_Buyers,Recommendation,580.25,2100,28000,18,5400.00,USD,cross_sell_2024,16,18,TXN001036,0.7,"Complete your collection"
2024-02-06,Cross_Sell,Category_Buyers,Bundle_1,620.00,2300,32000,22,6600.00,USD,cross_sell_bundle,20,22,TXN001037,0.8,"Bundle & Save 15%"
2024-02-07,Geo_Targeted,West_Coast,Local_1,750.50,2800,65000,12,3600.00,USD,geo_west,10,12,TXN001038,1.1,"Free delivery in your area"
2024-02-08,Geo_Targeted,East_Coast,Local_1,820.00,3100,72000,15,4500.00,USD,geo_east,13,15,TXN001039,1.0,"Same-day shipping available"
2024-02-09,Interest_Based,Fitness_Enthusiasts,Sports_1,1100.25,4200,180000,14,4200.00,USD,interest_fitness,12,14,TXN001040,1.4,"Elevate your workout"
2024-02-10,Interest_Based,Home_Chefs,Kitchen_1,950.00,3600,150000,18,5400.00,USD,interest_kitchen,16,18,TXN001041,1.3,"Chef-quality at home"
2024-02-11,Lookalike_Expansion,Lookalike_2,Intro_1,1650.50,5800,320000,20,6000.00,USD,lookalike_exp,18,20,TXN001042,1.6,"New customers save 15%"
2024-02-12,Lookalike_Expansion,Lookalike_3,Intro_2,1480.00,5200,280000,16,4800.00,USD,lookalike_exp,14,16,TXN001043,1.5,"Welcome offer inside"
2024-02-13,Browse_Abandon,Product_Viewers,Dynamic_3,380.00,1400,8000,24,7200.00,USD,browse_abandon,22,24,TXN001044,0.9,"Still thinking about it?"
2024-02-14,Valentine_Promo,Couples_Gifts,Romance_1,2800.00,9500,420000,65,19500.00,USD,valentine_2024,62,65,TXN001045,1.2,"Perfect gifts for your special someone"
2024-02-15,Valentine_Promo,Last_Minute,Urgency_2,1950.75,6800,280000,48,14400.00,USD,valentine_last,45,48,TXN001046,1.0,"Order by noon for tomorrow delivery"
2024-02-16,Valentine_Promo,Singles_Self_Care,Self_Love,850.50,3200,95000,22,6600.00,USD,valentine_self,20,22,TXN001047,0.8,"Treat yourself"
2024-02-17,Winback_Lapsed,6M_Lapsed,Winback_1,620.00,2200,35000,8,2400.00,USD,winback_6m,5,8,TXN001048,1.8,"We miss you - 20% off welcome back"
2024-02-18,Winback_Lapsed,12M_Lapsed,Winback_2,450.25,1600,22000,5,1500.00,USD,winback_12m,3,5,TXN001049,2.1,"Special offer just for you"
2024-02-19,Performance_Max,Auto_Targeting,PMax_1,3200.00,11000,520000,68,20400.00,USD,pmax_feb,65,68,TXN001050,1.1,"AI-optimized campaign"
2024-02-20,Performance_Max,Auto_Targeting,PMax_1,2980.50,10200,480000,62,18600.00,USD,pmax_feb,58,62,TXN001051,1.2,"AI-optimized campaign"
